cluster_id,urls,themes,persons,orgs,start_date,end_date,hotness,citation_index,hotness_breakdown,num_sources,sources_list
65,http://www.oklahomastar.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.caribbeanherald.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.argentinastar.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.asiabulletin.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.africaleader.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.oklahomacitysun.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.newzealandstar.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.japanherald.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.newjerseytelegraph.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.israelherald.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher,ECON_STOCKMARKET;WB_698_TRADE;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;MANMADE_DISASTER_IMPLIED,,dow jones;euronext;big news network,2025-10-03T21:00:00,2025-10-04T01:30:00,0.6,67,"{""surprise"": 0.244, ""materiality"": 0.455, ""spread_speed"": 1.0, ""breadth"": 1.0, ""credibility"": 0.5}",67,"['oklahomastar.com', 'caribbeanherald.com', 'argentinastar.com', 'asiabulletin.com', 'africaleader.com', 'oklahomacitysun.com', 'newzealandstar.com', 'japanherald.com', 'newjerseytelegraph.com', 'israelherald.com', 'tennesseedaily.com', 'parisguardian.com', 'chinanationalnews.com', 'sydneysun.com', 'austinglobe.com', 'batonrougepost.com', 'trinidadtimes.com', 'iranherald.com', 'milwaukeesun.com', 'indiagazette.com', 'jamaicantimes.com', 'nashvilleherald.com', 'bangladeshsun.com', 'utahindependent.com', 'saltlakecitysun.com', 'vietnamtribune.com', 'nigeriasun.com', 'pittsburghstar.com', 'neworleanssun.com', 'brazilsun.com', 'clevelandstar.com', 'baltimorestar.com', 'hawaiitelegraph.com', 'dallassun.com', 'phoenixherald.com', 'londonmercury.com', 'haitisun.com', 'taiwansun.com', 'malaysiasun.com', 'theusnews.com', 'memphissun.com', 'afghanistansun.com', 'bostonstar.com', 'srilankasource.com', 'torontotelegraph.com', 'sandiegosun.com', 'singaporestar.com', 'albuquerqueexpress.com', 'iraqsun.com', 'massachusettssun.com', 'mexicostar.com', 'europesun.com', 'tucsonpost.com', 'mainemirror.com', 'sanantoniopost.com', 'nepalnational.com', 'northkoreatimes.com', 'irishsun.com', 'ohiostandard.com', 'sierraleonetimes.com', 'russiaherald.com', 'newyorktelegraph.com', 'newyorkstatesman.com', 'hongkongherald.com', 'philippinetimes.com', 'stlouisstar.com', 'texasguardian.com']"
85,https://www.5newsonline.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.kagstv.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.wcnc.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.wbir.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.13newsnow.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.abc10.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.thv11.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.wusa9.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.wfmynews2.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119;https://www.wfaa.com/article/news/nation-world/trump-idea-stimulus-checks-tariff-revenue/507-38028d67-bc49-4df6-ac62-1f4912261119,ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;TAX_ETHNICITY;TAX_ETHNICITY_AMERICANS,josh hawley;charlie kirk,elon musk department of government efficiency;white house,2025-10-03T20:00:00,2025-10-03T21:00:00,0.566,17,"{""surprise"": 0.17, ""materiality"": 0.395, ""spread_speed"": 1.0, ""breadth"": 1.0, ""credibility"": 0.5}",17,"['5newsonline.com', 'kagstv.com', 'wcnc.com', 'wbir.com', '13newsnow.com', 'abc10.com', 'thv11.com', 'wusa9.com', 'wfmynews2.com', 'wfaa.com', 'ksdk.com', 'kens5.com', 'fox43.com', 'wwltv.com', 'ktvb.com', 'wzzm13.com', 'kiiitv.com']"
86,http://www.pakistantelegraph.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.cincinnatisun.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.floridastatesman.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.zimbabwestar.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher;http://www.californiatelegraph.com/news/278616295/wall-street-ends-mixed-friday-but-dow-shoots-higher,ECON_STOCKMARKET;WB_698_TRADE;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT,,big news network;dow jones,2025-10-03T20:45:00,2025-10-03T20:45:00,0.544,5,"{""surprise"": 0.1, ""materiality"": 0.375, ""spread_speed"": 1.0, ""breadth"": 1.0, ""credibility"": 0.5}",5,"['pakistantelegraph.com', 'cincinnatisun.com', 'floridastatesman.com', 'zimbabwestar.com', 'californiatelegraph.com']"
56,https://www.theguardian.com/world/2025/oct/04/china-mega-embassy-dilemma-starmer;https://www.aol.co.uk/articles/starmer-horns-dilemma-over-china-060006057.html,ECON_HOUSING_PRICES;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING,angela rayner;eddie lister;keir starmer;yang xiaoguang;steve reed,united kingdom international innovation centre;cinnamon club;university of surrey;royal mint court,2025-10-04T06:30:00,2025-10-04T06:30:00,0.528,2,"{""surprise"": 0.04, ""materiality"": 0.551, ""spread_speed"": 1.0, ""breadth"": 1.0, ""credibility"": 0.2}",2,"['theguardian.com', 'aol.co.uk']"
28,https://www.tickerreport.com/banking-finance/13180804/altria-group-inc-mo-shares-sold-by-wells-trecaso-financial-group-llc.html;https://www.dailypolitical.com/2025/10/04/wells-trecaso-financial-group-llc-trims-position-in-altria-group-inc-mo.html,ECON_STOCKMARKET;TAX_FNCACT_ANALYST;TAX_FNCACT;TAX_ECON_PRICE;TAX_FNCACT_ANALYSTS,stifel nicolaus,quarter for altria group;news ratings for altria group daily;united states;altria group;wells trecaso financial group,2025-10-04T15:30:00,2025-10-04T15:30:00,0.516,2,"{""surprise"": 0.04, ""materiality"": 0.652, ""spread_speed"": 1.0, ""breadth"": 0.75, ""credibility"": 0.2}",2,"['tickerreport.com', 'dailypolitical.com']"
77,https://www.investors.com/stock-lists/ipo-analysis/figure-stock-figr/;https://www.investors.com:443/stock-lists/ipo-analysis/figure-stock-figr/,ECON_IPO;ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_INVESTOR;EPU_ECONOMY_HISTORIC,,technology solutions;week figure technology solutions,2025-10-03T22:30:00,2025-10-03T22:30:00,0.516,2,"{""surprise"": 0.04, ""materiality"": 0.714, ""spread_speed"": 1.0, ""breadth"": 0.75, ""credibility"": 0.1}",1,"['investors.com', 'investors.com']"
51,https://nuclear-news.net/2025/10/04/1-b1-solar-becomes-main-source-of-electricity-in-the-eu-for-first-time/;https://nuclear-news.net/2025/10/04/1-b-1-iran-wont-risk-russia-chinas-ire-by-quitting-nuclear-treaty-expert-says/,ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_WORLD_BANK;TAX_FNCACT;TAX_FNCACT_SCHOLAR;TAX_FNCACT_BABY,jane goodall;robert gray getty,nuclear waste scholar series;world bank;public trust through baby teeth;louis baby tooth;chimpanzee group at taronga zoo,2025-10-04T09:00:00,2025-10-04T09:00:00,0.504,2,"{""surprise"": 0.04, ""materiality"": 0.667, ""spread_speed"": 1.0, ""breadth"": 0.75, ""credibility"": 0.1}",1,"['nuclear-news.net', 'nuclear-news.net']"
67,https://www.benzinga.com/insights/news/25/10/48030556/if-you-invested-100-in-stryker-stock-10-years-ago-you-would-have-this-much-today;https://www.benzinga.com/insights/news/25/10/48030667/if-you-invested-100-in-hubspot-stock-10-years-ago-you-would-have-this-much-today,ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_INVESTOR;TAX_ECON_PRICE;,,,2025-10-04T01:15:00,2025-10-04T01:15:00,0.5,2,"{""surprise"": 0.04, ""materiality"": 0.8, ""spread_speed"": 1.0, ""breadth"": 0.5, ""credibility"": 0.1}",1,"['benzinga.com', 'benzinga.com']"
19,https://vampirefreaks.com/collections/new-items/products/castle-dracul-bat-hem-vest;https://vampirefreaks.com/collections/new-items/products/bride-of-dracula-skirt-blood-red;https://vampirefreaks.com/collections/new-items/products/cabernet-sauvignon-velvet-skirt-wine-red;https://vampirefreaks.com/collections/new-items/products/darkcycle-techwear-hoodie;https://vampirefreaks.com/collections/new-items/products/studded-tactical-convertible-bag;https://vampirefreaks.com/collections/new-items/products/foolish-mortal-striped-pants;https://vampirefreaks.com/collections/new-items/products/bride-of-night-embroidered-dress,ECON_STOCKMARKET;EPU_ECONOMY_HISTORIC;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES,,,2025-10-04T16:15:00,2025-10-04T16:15:00,0.483,7,"{""surprise"": 0.14, ""materiality"": 0.333, ""spread_speed"": 1.0, ""breadth"": 1.0, ""credibility"": 0.1}",1,"['vampirefreaks.com', 'vampirefreaks.com', 'vampirefreaks.com', 'vampirefreaks.com', 'vampirefreaks.com', 'vampirefreaks.com', 'vampirefreaks.com']"
35,https://www.winnipegfreepress.com/arts-and-life/life/greenpage/2025/10/04/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects;https://www.krmg.com/news/business/fears-massive/6GALRGRGLQ2XNDETBB4UN72DGE/;https://www.goskagit.com/news/state/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/article_cae9a88c-0326-57f2-8bb6-aead24b4c08c.html;https://www.whec.com/ap-top-news/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/;https://www.erienewsnow.com/news/state/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/article_da966778-75c9-57be-8450-9c7687e07da9.html;https://lancasteronline.com/news/national/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/article_150293c1-b816-5219-9c18-5f841bb8b218.html;https://www.wsbradio.com/news/business/fears-massive/6GALRGRGLQ2XNDETBB4UN72DGE/;https://www.yakimaherald.com/news/nation_and_world/nation/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/article_4a5c48af-d3b9-56a9-8596-a6e09c5b148b.html;https://www.wdio.com/ap-top-news/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/;https://www.gjsentinel.com/news/us/fears-of-massive-battery-fires-spark-local-opposition-to-energy-storage-projects/article_2745dda7-f8bf-57b8-b329-9326e0725bc9.html,ECON_ELECTRICALGRID;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;CRISISLEX_T11_UPDATESSYMPATHY,dennis travis;jennifer mcdermott;ofodike ezekoye;winnie sokolowski;laura philpot,american clean power association;pacific northwest national laboratory;associated press;environmental protection agency administrator lee zeldin;university of texas at austin,2025-10-04T10:30:00,2025-10-04T14:30:00,0.473,31,"{""surprise"": 0.124, ""materiality"": 0.262, ""spread_speed"": 0.756, ""breadth"": 1.0, ""credibility"": 0.5}",31,"['winnipegfreepress.com', 'krmg.com', 'goskagit.com', 'whec.com', 'erienewsnow.com', 'lancasteronline.com', 'wsbradio.com', 'yakimaherald.com', 'wdio.com', 'gjsentinel.com', 'mynorthwest.com', 'yankton.net', 'wfmz.com', 'clickorlando.com', 'wokv.com', 'ksat.com', 'kob.com', 'yahoo.com', 'news4jax.com', 'ktar.com', 'wsls.com', '2news.com', 'morningsun.net', 'go.com', 'taylorvilledailynews.com', 'wgauradio.com', 'nvdaily.com', 'wdbo.com', 'bangordailynews.com', 'clickondetroit.com', 'mymotherlode.com']"
